ONTOLOGY	ID	Description	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0035270	endocrine system development	137/18614	3.81E-08	3.49E-05	1.79E-05	CRKL/CDH2/SRF/CITED2/CYP1B1	5
BP	GO:0048863	stem cell differentiation	247/18614	7.17E-07	0.000328919	0.000168773	CDH2/HMGA2/SRF/CITED2/FOXC1	5
BP	GO:0007498	mesoderm development	137/18614	2.65E-06	0.000811488	0.000416386	HMGA2/SRF/CITED2/FOXC1	4
BP	GO:0000792	heterochromatin	81/18614	1.29E-03	0.037517864	0.025791013	HMGA2/FOXC1	2
BP	GO:0016442	RISC complex	413/18614	2.30E-03	0.037517864	0.025791013	MIR186/MIR148A/MIR335	3
BP	GO:0031332	RNAi effector complex	413/18614	2.30E-03	0.037517864	0.025791013	MIR186/MIR148A/MIR335	3
BP	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	348/18614	2.69E-06	0.000156226	5.95E-05	CRKL/HMGA2/SRF/CITED2/FOXC1	5
BP	GO:0140297	DNA-binding transcription factor binding	478/18614	1.27E-05	0.000366928	0.000139846	CRKL/HMGA2/SRF/CITED2/FOXC1	5
BP	GO:0008301	"DNA binding, bending"	18/18614	7.03E-05	0.001358941	0.000517927	HMGA2/FOXC1	2
BP	GO:0048538	thymus development	48/18614	5.74E-06	0.001316409	0.000675469	CRKL/SRF/CITED2	3
BP	GO:0048732	gland development	441/18614	1.22E-05	0.001930618	0.000990629	CRKL/SRF/CITED2/CYP1B1/FOXC1	5
BP	GO:0008406	gonad development	228/18614	1.99E-05	0.001930618	0.000990629	CRKL/CITED2/CYP1B1/FOXC1	4
BP	GO:0045137	development of primary sexual characteristics	233/18614	2.17E-05	0.001930618	0.000990629	CRKL/CITED2/CYP1B1/FOXC1	4
BP	GO:0001707	mesoderm formation	75/18614	2.22E-05	0.001930618	0.000990629	HMGA2/SRF/FOXC1	3
BP	GO:0048332	mesoderm morphogenesis	77/18614	2.40E-05	0.001930618	0.000990629	HMGA2/SRF/FOXC1	3
BP	GO:0045930	negative regulation of mitotic cell cycle	243/18614	2.56E-05	0.001930618	0.000990629	MAP3K20/BTG3/FOXC1/CCNG1	4
BP	GO:0048844	artery morphogenesis	80/18614	2.69E-05	0.001930618	0.000990629	SRF/CITED2/FOXC1	3
BP	GO:0003151	outflow tract morphogenesis	82/18614	2.90E-05	0.001930618	0.000990629	CRKL/CITED2/FOXC1	3
BP	GO:0014032	neural crest cell development	82/18614	2.90E-05	0.001930618	0.000990629	CDH2/CITED2/FOXC1	3
BP	GO:0048762	mesenchymal cell differentiation	255/18614	3.09E-05	0.001930618	0.000990629	CDH2/HMGA2/CITED2/FOXC1	4
BP	GO:0035050	embryonic heart tube development	85/18614	3.23E-05	0.001930618	0.000990629	SRF/CITED2/FOXC1	3
BP	GO:0003007	heart morphogenesis	262/18614	3.44E-05	0.001930618	0.000990629	CRKL/SRF/CITED2/FOXC1	4
BP	GO:0048864	stem cell development	88/18614	3.58E-05	0.001930618	0.000990629	CDH2/CITED2/FOXC1	3
BP	GO:0014033	neural crest cell differentiation	95/18614	4.50E-05	0.002129096	0.001092471	CDH2/CITED2/FOXC1	3
BP	GO:0007548	sex differentiation	283/18614	4.64E-05	0.002129096	0.001092471	CRKL/CITED2/CYP1B1/FOXC1	4
BP	GO:0048534	hematopoietic or lymphoid organ development	96/18614	4.64E-05	0.002129096	0.001092471	CRKL/SRF/CITED2	3
BP	GO:0048608	reproductive structure development	301/18614	5.90E-05	0.002488228	0.001276747	CRKL/CITED2/CYP1B1/FOXC1	4
BP	GO:0061458	reproductive system development	305/18614	6.21E-05	0.002488228	0.001276747	CRKL/CITED2/CYP1B1/FOXC1	4
BP	GO:0090136	epithelial cell-cell adhesion	16/18614	6.27E-05	0.002488228	0.001276747	SRF/CYP1B1	2
