gene	logFC	entrezID
CRNDE	0.081766946	643911
MAP3K20	-0.17685721	51776
SNHG14	0.170123549	104472715
LINC00324	-0.045797824	284029
CRKL	-0.011348002	1399
CDH2	0.583407385	1000
HMGA2	-0.159321234	8091
BTG3	0.012656153	10950
SRF	0.009933167	6722
MCF2L-AS1	0.243700069	100289410
MIR186	0.231172533	406962
MIR148A	0.634287838	406940
MIR335	0.197784823	442904
MIR1276	0.698281084	100302121
MIR616	-0.191069563	693201
CITED2	-0.19337225	10370
CYP1B1	-0.305040203	1545
FOXC1	-0.175439913	2296
CCNG1	0.037779144	900
