lncrna,miRNA,mRNA
H19,hsa-mir-675,RUNX1
HOTAIR,hsa-mir-331,HER
H19,hsa-mir-141,ZEB1
PVT1,hsa-mir-186,HIF1A
PVT1,hsa-mir-186,PCNA
PVT1,hsa-mir-152,CD151
PVT1,hsa-mir-152,FGF2
SRF,hsa-mir-101,NAN
PTENP1,hsa-mir-106b,PTEN
PTENP1,hsa-mir-93,PTEN
MALAT1,hsa-mir-202,GLI2
CircPVT1,hsa-mir-125a,E2F2
CircPVT1,hsa-mir-125b,E2F2
TUG1,hsa-mir-145,NAN
XIST,hsa-mir-497,MACC1
XIST,hsa-mir-497,MACC1
SNHG5,hsa-mir-32,KLF4
AF147447,hsa-mir-34c,MUC2
GAS5,hsa-mir-23a,MT2A
HOXA11-AS,hsa-mir-1297,E2F1
HOXA11-AS,hsa-mir-1297,E2F1
SOX2OT,hsa-mir-375,NAN
SOX2,hsa-mir-375,NAN
SOX2OT,hsa-mir-375,NAN
SOX2,hsa-mir-375,NAN
RMRP,hsa-mir-206,CCND2
RMRP,hsa-mir-206,CCND2
XIST,hsa-mir-101,EZH2
XIST,hsa-mir-101,EZH2
MALAT1,hsa-mir-122,IGF1R
BC032469,hsa-mir-1207,HTERT
FER1L4,hsa-mir-106a,PTEN
MEG3,hsa-mir-181a,BCL2
ciRS-7,hsa-mir-7,PTEN
ciRS-7,hsa-mir-7,PI3K
ciRS-7,hsa-mir-7,PTEN
ciRS-7,hsa-mir-7,PI3K
ATB,hsa-mir-200c,ZEB1
ATB,hsa-mir-200c,ZNF217
BANCR,hsa-mir-532,NCF2
BLACAT1,hsa-mir-361,ABCB1
CAT104,hsa-mir-381,ZEB1
GAS5,hsa-mir-21,AGO4
H19,hsa-mir-148a,DNMT1
HAGLROS,hsa-mir-100,ATG9A
HAGLROS,hsa-mir-100,ATG9B
HOTAIR,hsa-mir-331,HER2
HOTAIR,hsa-mir-148a,AGO4
LINC00152,hsa-mir-193a,MCL1
LINC00483,hsa-mir-30a,SPAG9
LINC01234,hsa-mir-204,CBFB
MALAT1,hsa-mir-145,KLF4
MAP3K20,hsa-mir-375,JAK2
MEG3,hsa-mir-21,VEGF
MEG3,hsa-mir-21,PKM2
MIAT,hsa-mir-141,DDX5
MT1JP,hsa-mir-214,RUNX3
MT1JP,hsa-mir-92a,FBXW7
NEAT1,hsa-mir-506,STAT3
PTENP1-AS,hsa-mir-21,AGO4
PWRN1,hsa-mir-425,PTEN
PWRN1,hsa-mir-425,AKT
PWRN1,hsa-mir-425,MDM2
PWRN1,hsa-mir-425,P53
lincRNA-ROR,hsa-mir-145,KLF4
SMARCC2,hsa-mir-551b,TMPRSS4
SNHG12,hsa-mir-199a,ARGO2
SNHG12,hsa-mir-199b,ARGO2
SNHG14,hsa-mir-145,PI3K
SNHG14,hsa-mir-145,AKT
SNHG14,hsa-mir-145,MTOR
TUG1,hsa-mir-145,KLF4
UCA1,hsa-mir-7,EGFR
UCA1,hsa-mir-590,CREB1
XIST,hsa-mir-185,TGFB1
AK027145,hsa-mir-148b,NAN
CRNDE,hsa-mir-145,E2F3
H19,hsa-let-7c,HER2
HIX0023999,hsa-mir-148b,NAN
LINC01296,hsa-mir-122,MMP9
ATB,hsa-mir-141,TGFB
LOC101927497,hsa-mir-574,NAN
M18204.1,hsa-mir-148b,NAN
MALAT1,hsa-mir-202,GLI2
MALAT1,hsa-mir-23b,ATG12
MALAT1,hsa-mir-1297,HMGB2
MEG3,hsa-mir-770,NAN
MSTO2P,hsa-mir-335,MSTOP2
PTENP1,hsa-mir-106b,PTEN
PTENP1,hsa-mir-93,PTEN
PVT1,hsa-mir-152,CD151
PVT1,hsa-mir-152,FGF2
PVT1,hsa-mir-186,HIF1A
SNHG12,hsa-mir-320,CRKL
SNHG5,hsa-mir-32,AGO2
SNHG6,hsa-mir-101,ZEB1
TINCR,hsa-mir-375,PDK1
TUBB2A,hsa-mir-596,CLDN4
TUG1,hsa-mir-145,NAN
TUG1,hsa-mir-381,SOX4
XIST,hsa-mir-497,MACC1
XIST,hsa-mir-497,MACC1
XLOC_000983,hsa-mir-148b,NAN
XLOC_005104,hsa-mir-148b,NAN
XLOC_006324,hsa-mir-148b,NAN
AC130710,hsa-mir-129,NAN
AF147447,hsa-mir-34c,MUC2
AKR7L,hsa-mir-23b,DRD5
AKR7L,hsa-mir-23b,GDF5
ANRIL,hsa-mir-99a,PRC2
ANRIL,hsa-mir-449a,PRC2
ATB,hsa-mir-200a,ZEB1
ATB,hsa-mir-200b,ZEB1
ATB,hsa-mir-200c,ZEB1
BANCR,hsa-mir-9,NFKB1
BC032469,hsa-mir-1207,HTERT
BC040587,hsa-mir-23b,DRD5
BC040587,hsa-mir-23b,GDF5
DQ192290,hsa-mir-23b,DRD5
DQ192290,hsa-mir-23b,GDF5
FER1L4,hsa-mir-106a,PTEN
FER1L4,hsa-mir-106a,RB1
GAS5,hsa-mir-23a,MT2A
H19,hsa-mir-675,RUNX1
H19,hsa-mir-675,RUNX1
H19,hsa-mir-675,ISM1
HOTAIR,hsa-mir-126,VEGFA
HOTAIR,hsa-mir-126,PIK3R2
H19,hsa-mir-21,EGFR
H19,hsa-mir-21,KLF4
H19,hsa-mir-21,DNMT1
H19,hsa-mir-21,AGO4
RMRP,hsa-mir-206,CYCLIN-D2
TUG1,hsa-mir-144,C-MET
TUSC7,hsa-mir-23b,P53
UCA1,hsa-mir-27b,BCL2
XIST,hsa-mir-101,EZH2
HOTAIR,hsa-mir-34a,C-MET
HOTAIR,hsa-mir-34a,SNAIL
HOTAIR,hsa-mir-152,HLA-G
HOTAIR,hsa-mir-331,HER2
HOXA11-AS,hsa-mir-1297,EZH2
LOC150622,hsa-mir-23b,TUSC7
LOC553103,hsa-mir-bart6,CDH2
LOC553103,hsa-mir-bart6,CDH2
LOC553103,hsa-mir-bart6,SNAL1
LOC553103,hsa-mir-bart6,SNAL1
LOC553103,hsa-mir-bart6,MMP2
LOC553103,hsa-mir-bart6,MMP2
LOC553103,hsa-mir-bart6,MMP9
LOC553103,hsa-mir-bart6,MMP9
M59227,hsa-mir-23b,TUSC7
MALAT1,hsa-mir-122,IGF1R
MEG3,hsa-mir-141,E2F3
MEG3,hsa-mir-181,BCL2
MEG3,hsa-mir-148a,DNMT1
LINC01133,hsa-mir-106a,APC
TP73-AS1,hsa-mir-194,SDAD1
D63785,hsa-mir-422a,MEF2D
HNF1A-AS1,hsa-mir-661,CDK4
RP11-1094M14.8,hsa-mir-1269a,CXCL9
LINC00324,hsa-mir-3200,BCAT1
FGD5-AS1,hsa-mir-153,CITED2
OIP5-AS1,hsa-mir-367,SPARC
OIP5-AS1,hsa-mir-424,SPARC
OIP5-AS1,hsa-mir-143,SPARC
MCF2L-AS1,hsa-mir-105,SLC12A7
TMPO-AS1,hsa-let-7c,SLC12A7
TMPO-AS1,hsa-let-7b,SLC12A7
TMPO-AS1,hsa-let-7a,SLC12A7
TMPO-AS1,hsa-let-7f,SLC12A7
TMPO-AS1,hsa-let-7d,SLC12A7
TMPO-AS1,hsa-let-7i,SLC12A7
TMPO-AS1,hsa-let-7e,SLC12A7
TMPO-AS1,hsa-let-7g,SLC12A7
HCP5,hsa-mir-106b,KYNU
HCP5,hsa-mir-106a,KYNU
DLEU1,hsa-mir-106b,TTF2
DLEU1,hsa-mir-124,TTF2
DLEU1,hsa-mir-1224,TTF2
DLEU1,hsa-mir-3934,TTF2
